85,97,551,338497
59,77,1797,604953
25,23,1444,256804
25,122,1696,533962
54,138,1789,354776
40,163,1695,984065
79,10,579,836178
40,172,637,872861
32,163,1036,213853
98,67,291,704292
34,35,825,365001
36,17,629,755681
35,42,1405,764635
22,151,1917,650124
26,190,1656,249069
38,190,1501,448059
59,187,1834,827669
16,61,1964,84869
82,42,1005,329505
46,99,32,955620
88,172,1092,485911
10,59,1058,783939
21,195,33,704029
81,7,1136,724270
58,17,1529,197226
84,0,1052,214346
87,149,1201,507538
96,151,1571,937966
53,175,1280,606164
100,138,349,961374
4,121,614,988070
32,7,1152,196668
6,59,185,224169
40,159,1184,406296
31,139,160,519177
47,12,259,263617
81,91,1322,333662
38,117,1290,12906
13,44,133,318921
32,9,841,896839
18,30,342,414546
35,198,1404,337117
88,52,1424,415188
35,46,609,691428
1,146,586,379590
84,102,1603,598200
98,200,1558,949535
4,176,937,118455
11,120,555,176898
32,155,1703,115332
36,92,1684,671709
1,88,778,342136
59,70,1280,605397
81,200,1537,504841
39,185,798,546775
29,79,935,169426
91,142,933,741767
4,157,1648,577805
95,43,135,163994
86,170,1239,131956
80,6,1763,661147
53,60,1108,949713
35,1,197,314048
75,165,1487,483556
32,154,1231,296424
77,195,1223,647831
50,145,847,477348
87,75,1077,207088
31,35,739,192534
42,69,1788,869030
41,143,1531,854434
27,85,1535,426860
99,18,1246,261315
78,140,885,874932
82,123,1366,665012
89,9,23,885804
92,168,1252,83330
67,12,1255,839356
66,64,1580,443860
19,16,1151,537624
100,77,1624,915445
84,27,54,106369
51,141,1514,832103
55,80,1239,793912
66,7,1907,357589
85,104,1257,889615
42,2,419,467433
27,41,1180,123099
69,191,1387,552877
55,186,1413,706329
12,32,897,908568
64,143,828,916829
2,167,1169,404385
11,125,1600,528974
10,143,144,822207
74,199,142,514880
72,103,750,994656
26,198,1874,914035
35,111,183,350091
24,32,1219,452924
72,92,818,763078
34,97,59,674744
54,153,833,475007
87,178,1523,642392
26,5,755,922186
31,41,26,753833
99,23,1605,73507
28,81,1707,601521
11,35,1397,914060
32,23,282,634523
9,30,712,774038
47,72,989,81823
4,113,45,962371
34,53,1907,412092
99,40,906,333320
61,188,1207,932220
87,51,1643,755881
22,167,1507,739402
31,70,1452,473072
9,108,1597,307394
78,67,1744,221749
13,31,1566,292130
41,97,1101,317969
85,64,413,212665
48,81,388,458891
76,156,1060,376091
29,48,213,570369
17,125,1236,556945
93,141,1100,296654
26,55,1688,309599
39,74,127,362535
76,135,1440,945666
6,25,713,758832
28,51,1687,781370
70,76,1932,686370
47,83,296,158860
20,53,569,409102
33,101,1593,38728
19,132,1611,41492
27,123,1354,184898
97,131,395,994818
34,103,225,359424
50,168,1714,507830
26,168,1608,668388
60,129,308,166180
24,186,1170,131911
49,117,1261,732276
67,117,1792,7046
20,23,1572,149509
83,142,1082,61598
43,110,1675,205698
26,164,698,762706
36,189,93,252043
50,198,584,682376
93,127,1305,24163
94,31,0,202785
15,46,298,312747
23,115,1873,976804
100,94,868,468168
99,93,1652,128148
93,103,1779,206076
74,184,1805,59385
98,81,860,237857
51,29,705,380042
11,10,1591,663609
23,124,1165,832621
88,43,1397,938534
86,29,1576,787194
79,158,1522,406087
37,79,1412,286388
11,192,1423,870638
97,147,615,383339
24,137,296,889677
100,101,668,152199
35,140,1960,595829
59,79,1119,543099
13,125,1691,14059
4,185,205,437493
77,144,707,736197
33,21,706,762555
70,166,524,502800
44,183,1682,377394
17,52,696,321259
22,121,1158,109801
32,62,115,883945
93,114,615,120036
10,187,520,955368
48,113,620,154818
5,83,891,528761
44,187,1480,169673
74,58,169,868829
91,82,345,855908
39,177,600,57019
13,114,451,976325
45,87,1649,331844
